iter	MultiClass
0	3.111663947
1	3.055026048
2	2.991223047
3	2.935733944
4	2.880365078
5	2.822824401
6	2.77702461
7	2.736722767
8	2.691761262
9	2.65275459
10	2.614758554
11	2.579273515
12	2.538800313
13	2.507263893
14	2.476246797
15	2.450471932
16	2.419888127
17	2.389025211
18	2.361025927
19	2.33370114
20	2.309617392
21	2.28469067
22	2.265477982
23	2.243866006
24	2.22966086
25	2.208246084
26	2.191570708
27	2.177819337
28	2.161229323
29	2.146490391
30	2.138360242
31	2.122660614
32	2.107260628
33	2.091061308
34	2.074036994
35	2.05949615
36	2.043854814
37	2.029508272
38	2.021442271
39	2.012879437
40	2.00028161
41	1.988117721
42	1.97683891
43	1.964849253
44	1.952464767
45	1.943845918
46	1.940529962
47	1.930372127
48	1.917079056
49	1.906645081
50	1.896127181
51	1.886193805
52	1.879667932
53	1.8737031
54	1.864536458
55	1.854715351
56	1.846379376
57	1.838472066
58	1.831238802
59	1.824469076
60	1.816067626
61	1.808148664
62	1.799645075
63	1.791369139
64	1.784277852
65	1.778319725
66	1.773733742
67	1.766990958
68	1.759381177
69	1.753342711
70	1.746066535
71	1.740189323
72	1.73354752
73	1.727626588
74	1.721349872
75	1.714231714
76	1.709318614
77	1.703110586
78	1.69730798
79	1.692971937
80	1.689080076
81	1.68328159
82	1.676893667
83	1.673466966
84	1.667229982
85	1.66132588
86	1.656418345
87	1.651004091
88	1.646707167
89	1.642369707
90	1.637281668
91	1.63320545
92	1.628224728
93	1.627529835
94	1.624123227
95	1.619840861
96	1.615916411
97	1.611300277
98	1.606924965
99	1.601762805
100	1.598018446
101	1.595508388
102	1.592761313
103	1.589139247
104	1.586119194
105	1.582224381
106	1.578588893
107	1.574570654
108	1.571655516
109	1.567933119
110	1.564768701
111	1.561522201
112	1.558858778
113	1.556196077
114	1.552884705
115	1.549227069
116	1.544909116
117	1.542108574
118	1.538610018
119	1.535681669
120	1.532334852
121	1.529519721
122	1.526290152
123	1.523051779
124	1.520443466
125	1.518370798
126	1.516312655
127	1.513820958
128	1.511811971
129	1.508395503
130	1.505536483
131	1.503314412
132	1.5005504
133	1.49790205
134	1.494488239
135	1.491738462
136	1.489088761
137	1.486570069
138	1.484152904
139	1.481325351
140	1.479504981
141	1.476936919
142	1.474289674
143	1.472031208
144	1.470780095
145	1.46842925
146	1.466131147
147	1.464669982
148	1.462221978
149	1.460023908
150	1.458298575
151	1.455691767
152	1.454385836
153	1.451620078
154	1.450506826
155	1.448411432
156	1.446861063
157	1.444450432
158	1.443145988
159	1.441257193
160	1.439138525
161	1.437544192
162	1.435305961
163	1.433112637
164	1.431343034
165	1.42972497
166	1.427644935
167	1.42553474
168	1.424039329
169	1.422289595
170	1.420476103
171	1.419236342
172	1.417559057
173	1.415695606
174	1.414061228
175	1.412915146
176	1.411514235
177	1.410149661
178	1.408031018
179	1.40616279
180	1.404591565
181	1.403840304
182	1.402164423
183	1.400554749
184	1.398942545
185	1.397023731
186	1.395371536
187	1.393238591
188	1.391381223
189	1.389985983
190	1.38865687
191	1.387822493
192	1.38620798
193	1.384586952
194	1.383175165
195	1.381967124
196	1.380477909
197	1.379238498
198	1.378152755
199	1.376688058
200	1.375360461
201	1.373800926
202	1.372488532
203	1.370965616
204	1.369504248
205	1.368135778
206	1.366742994
207	1.365426871
208	1.363985443
209	1.362488389
210	1.361173542
211	1.360106039
212	1.358411856
213	1.356969622
214	1.355382044
215	1.353897704
216	1.353373866
217	1.351913623
218	1.350740263
219	1.34939376
220	1.348267501
221	1.346996859
222	1.345621842
223	1.344324206
224	1.342904688
225	1.341475288
226	1.340127928
227	1.338555249
228	1.337543701
229	1.336274303
230	1.334900637
231	1.333758765
232	1.332426966
233	1.331311048
234	1.330266298
235	1.329506298
236	1.32848135
237	1.327636992
238	1.326832117
239	1.326081682
