iter	Passed	Remaining
0	6	6706
1	14	7219
2	20	6738
3	26	6680
4	34	6824
5	40	6676
6	46	6589
7	52	6557
8	58	6465
9	66	6562
10	72	6518
11	79	6544
12	85	6514
13	90	6348
14	96	6353
15	102	6325
16	108	6297
17	115	6313
18	121	6276
19	127	6265
20	134	6254
21	140	6231
22	146	6240
23	152	6204
24	157	6137
25	164	6147
26	170	6130
27	176	6125
28	182	6108
29	188	6096
30	192	6025
31	198	6018
32	205	6034
33	213	6075
34	220	6074
35	229	6147
36	236	6153
37	244	6190
38	250	6162
39	257	6176
40	263	6167
41	270	6174
42	279	6214
43	285	6203
44	294	6244
45	301	6248
46	306	6215
47	312	6204
48	319	6201
49	326	6208
50	333	6210
51	342	6249
52	349	6249
53	355	6228
54	361	6214
55	367	6200
56	375	6206
57	382	6205
58	389	6219
59	396	6210
60	405	6240
61	411	6233
62	419	6245
63	426	6236
64	433	6231
65	439	6221
66	455	6339
67	485	6657
68	507	6852
69	528	7016
70	544	7122
71	558	7200
72	566	7196
73	573	7171
74	580	7153
75	586	7131
76	592	7107
77	601	7109
78	607	7083
79	617	7100
80	637	7237
81	645	7230
82	652	7206
83	658	7179
84	665	7167
85	671	7141
86	678	7119
87	684	7097
88	690	7070
89	697	7048
90	703	7029
91	710	7008
92	716	6988
93	719	6938
94	726	6920
95	732	6900
96	738	6877
97	746	6872
98	752	6850
99	758	6830
100	765	6809
101	770	6784
102	777	6773
103	784	6755
104	790	6733
105	796	6716
106	802	6696
107	809	6683
108	815	6663
109	821	6644
110	827	6627
111	833	6607
112	839	6589
113	845	6570
114	851	6550
115	858	6540
116	864	6526
117	871	6514
118	877	6499
119	884	6483
120	891	6475
121	898	6464
122	904	6452
123	911	6438
124	919	6434
125	926	6424
126	934	6422
127	942	6419
128	949	6413
129	956	6402
130	962	6387
131	971	6389
132	977	6374
133	984	6360
134	991	6353
135	998	6341
136	1005	6330
137	1011	6316
138	1018	6306
139	1024	6291
140	1030	6278
141	1037	6268
142	1043	6256
143	1051	6252
144	1057	6238
